Año,Organismo Promotor,Empleos potenciales comprometidos,Empleos mejorados comprometidos,Empresas atendidas potenciales comprometidas,Empresas atendidas existentes comprometidas,Certificaciones Organizacionales comprometidas,Implantaciones comprometidas, Monto de aportación del PROSOFT ," Monto de aportación de la entidad federativa
 ", Monto de aportación del sector privado , Monto de aportación del sector académico , Monto de aportación de otros aportantes , Total de aportaciones ,Localización-Municipio del Proyecto,Localización-Entidad Federativa del Proyecto,Vinculado al Banco Mundial,Componente de Banco Mundial
2005,Guanajuato,0,1,0,1,0,0,"$25,000.00","$25,000.00","$50,000.00",$0.00,$0.00,"$100,000.00",Salamanca,Guanajuato,0,
2005,Baja California,100,0,0,2,0,0,"$3,567,000.00","$3,567,000.00","$7,135,000.00",$0.00,$0.00,"$14,269,000.00",Ensenada,Baja California,0,
2005,Guanajuato,1,20,0,1,0,0,"$125,000.00","$125,000.00","$265,000.00",$0.00,$0.00,"$515,000.00",Nuevo León,Guanajuato,0,
2005,Guanajuato,2,3,0,1,0,0,"$161,650.00","$161,650.00","$323,300.00",$0.00,$0.00,"$646,600.00",Nuevo León,Guanajuato,0,
2005,Durango,100,0,1,1,0,0,"$1,400,000.00","$1,400,000.00","$3,105,000.00",$0.00,$0.00,"$5,905,000.00",Durango,Durango,0,
2005,CANIETI,0,40,0,4,0,0,"$174,190.00",$0.00,"$522,570.00",$0.00,$0.00,"$696,760.00",Torreón,Coahuila,0,
2005,CANIETI,0,20,0,12,0,0,"$135,125.00",$0.00,"$87,832.00","$47,294.00",$0.00,"$270,251.00",Torreón,Coahuila,0,
2005,Sonora,1,13,0,5,0,0,"$1,260,165.00","$1,260,165.00",$0.00,"$840,109.00",$0.00,"$3,360,439.00",Cajeme,Sonora,0,
2005,Nuevo León,15,30,0,1,0,0,"$3,750,000.00","$1,999,999.40","$10,267,987.00",$0.00,$0.00,"$16,017,986.40",San Pedro Garza García,Nuevo León,0,
2005,Tlaxcala,1,3,0,1,0,0,"$36,824.00","$36,824.00","$73,648.00",$0.00,$0.00,"$147,296.00",Tlaxcala,Tlaxcala,0,
